roadsegid,party_time_rate,work_time_rate,pw_ratio
32489,149.571428571429,140.571428571429,0.0310192023633678
32547,41,69.1428571428571,-0.255512321660182
32550,69.2857142857143,88.4285714285714,-0.121376811594203
32552,580.142857142857,628,-0.0396121556107367
32602,638.142857142857,749.428571428571,-0.0802017914135695
32670,162.285714285714,308.285714285714,-0.310261080752884
32876,41.5714285714286,41.5714285714286,0
33236,70.8571428571429,120.571428571429,-0.259701492537313
33635,60.8571428571429,45.1428571428571,0.148247978436658
33791,618.714285714286,618.714285714286,0
33794,70.5714285714286,103.428571428571,-0.188834154351396
33797,580.285714285714,580.285714285714,0
33813,69.5714285714286,78.1428571428571,-0.058027079303675
34030,15.4285714285714,23.5714285714286,-0.208791208791209
34116,0.142857142857143,2,-0.866666666666667
34278,1107.14285714286,650.571428571429,0.259752925877763
34297,13.8571428571429,11,0.114942528735632
34505,73.4285714285714,73.4285714285714,0
34511,25.7142857142857,55.8571428571429,-0.369527145359019
34520,240.857142857143,378.285714285714,-0.221965851407476
34526,279.142857142857,379,-0.151725634903408
34535,823.428571428571,838,-0.00877042132416164
35037,43.4285714285714,137.285714285714,-0.519367588932806
35078,967.285714285714,967.285714285714,0
35367,171.571428571429,206,-0.0911842603102535
35368,176,225.857142857143,-0.1240668325631
35453,304,326,-0.0349206349206349
35528,101,115.285714285714,-0.0660501981505945
35541,764.428571428571,848.142857142857,-0.0519135364989369
35549,1564.28571428571,1564.28571428571,0
35694,781.571428571429,814.571428571429,-0.0206748411348787
35722,851.285714285714,862,-0.00625364796131074
35731,1008,981.857142857143,0.0131380572905449
35732,590.714285714286,590.714285714286,0
35851,208,229.142857142857,-0.0483660130718954
36345,1180.42857142857,1180.42857142857,0
36356,1700.57142857143,1179.71428571429,0.180835234599742
36361,905.142857142857,693.714285714286,0.132237312365976
36364,954,736,0.128994082840237
36371,2195.28571428571,1958.57142857143,0.0569866217285139
36372,2756.42857142857,1969.57142857143,0.166495375128469
37195,35.1428571428571,32.5714285714286,0.0379746835443039
37306,15288.2857142857,12103.8571428571,0.116253357323529
37307,1393.57142857143,1393.57142857143,0
37308,2111.42857142857,2111.42857142857,0
37309,6449,6449,0
37310,4945.14285714286,4741.42857142857,0.0210305872636639
37311,3157.28571428571,3157.28571428571,0
37312,28244.7142857143,21830.8571428571,0.128083553714529
37313,3433.14285714286,2633.28571428571,0.13184975862475
37315,10335,8381.85714285714,0.104352073760857
37316,9453.57142857143,6948.14285714286,0.152754067519075
37317,454.428571428571,269.428571428571,0.25557529109927
37319,2193.71428571429,1733.28571428571,0.117246898759504
37320,3897.14285714286,2963.28571428571,0.136122274743352
37335,283.285714285714,489.285714285714,-0.26664201183432
37336,66.8571428571429,271,-0.604228329809725
37337,12665.1428571429,7724.42857142857,0.242315749647929
37429,151,167.142857142857,-0.0507409070498428
37437,1008.28571428571,957.285714285714,0.0259466530997892
37448,807.714285714286,685.428571428571,0.0818982013011863
37469,30.7142857142857,34.7142857142857,-0.0611353711790393
37961,1427.14285714286,1427.14285714286,0
38121,261.428571428571,263.142857142857,-0.00326797385620917
38171,1213.42857142857,1213.42857142857,0
38172,3596.57142857143,3230.14285714286,0.0536756858559859
38174,1456.42857142857,1068,0.153867919189633
38175,805.571428571429,568.285714285714,0.172714983882708
38176,4959.85714285714,4849.71428571429,0.011228100834462
38179,1963.42857142857,1874,0.0233042960315687
38180,1100.28571428571,1106.71428571429,-0.00291280989060787
38186,762.428571428571,1245.85714285714,-0.240717029449424
38187,2216,2335.57142857143,-0.0262703618844355
38188,1631.42857142857,1866.28571428571,-0.0671458911942493
38189,633.571428571429,660.714285714286,-0.020971302428256
38190,586.571428571429,860.428571428571,-0.189258564517721
38191,0.571428571428571,0.571428571428571,0
38211,610.571428571429,502.857142857143,0.09674108288427
38212,2039.42857142857,1569.14285714286,0.130324623911322
38427,223.142857142857,174.857142857143,0.121320890165111
38430,1843,1516.85714285714,0.0970704536757515
38431,503.714285714286,476.857142857143,0.0273892773892774
38433,3393.14285714286,3213.42857142857,0.0272023526359037
38434,83.8571428571429,85.8571428571429,-0.0117845117845118
38435,1539.28571428571,1517.28571428571,0.00719760702935128
38441,1961.28571428571,2007.42857142857,-0.0116266513084482
38442,1401,1401,0
38445,1030.57142857143,839.857142857143,0.101962880928741
38446,5025.28571428571,4643.57142857143,0.0394787388079549
38447,575.857142857143,567.142857142857,0.00762404699412579
38541,291.857142857143,423.714285714286,-0.184268317029347
38552,60.1428571428571,60.1428571428571,0
38554,267.571428571429,290.285714285714,-0.0407170294494238
38588,247.428571428571,247.428571428571,0
38665,22.4285714285714,125.571428571429,-0.696911196911197
